sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
0,0.000,0.696386397,-0.053493366,0.038212717,0.500559866,0.936615884,0.086063862,0.421978295
1,0.100,0.696386397,-0.053851083,0.039345499,0.505709469,0.936981618,0.080485657,0.422206789
2,0.200,0.696386397,-0.053999498,0.039466113,0.509237051,0.937133491,0.076932475,0.422301829
3,0.300,0.696386397,-0.053573407,0.038841926,0.511526883,0.937196732,0.073766522,0.422341406
4,0.400,0.696386397,-0.052864373,0.038582146,0.512467921,0.937223077,0.072466306,0.422357947
5,0.500,0.696386397,-0.052570038,0.037274670,0.512853801,0.937233984,0.070994265,0.422364801
6,0.600,0.696386397,-0.052438233,0.033955865,0.513025343,0.937238932,0.070250653,0.422367871
7,0.700,0.696386397,-0.051898908,0.030935194,0.514011025,0.937240601,0.069993898,0.422368944
8,0.800,0.696386397,-0.050961994,0.028180929,0.516570032,0.937241316,0.070235781,0.422533602
9,0.900,0.696386397,-0.048312593,0.024583641,0.517971337,0.937241614,0.073322080,0.423460633
10,1.000,0.696386397,-0.043751538,0.015321656,0.519233882,0.937241733,0.075373903,0.423661798
11,1.100,0.696386397,-0.034741480,0.007344600,0.519253075,0.937241793,0.076920077,0.423750371
12,1.200,0.696569681,-0.027335860,0.004001774,0.518729985,0.938182354,0.086438365,0.423870236
13,1.300,0.697403193,-0.020454759,0.002661418,0.518514454,0.938655317,0.100449964,0.424013972
14,1.400,0.698675811,-0.013058610,0.002121024,0.518425643,0.939789832,0.111574337,0.424073130
15,1.500,0.699385166,-0.005327494,0.001898668,0.518388629,0.940346360,0.121783070,0.424097806
16,1.600,0.699673533,0.004511879,0.001068330,0.518373489,0.940736532,0.129272878,0.424107850
17,1.700,0.701044559,0.017681930,0.000440192,0.518367231,0.941063762,0.135302410,0.424112052
18,1.800,0.702594340,0.030587897,0.000181590,0.518364608,0.941800356,0.141569197,0.423516214
19,1.900,0.704002619,0.045265902,-0.001521707,0.518363476,0.942227125,0.148340315,0.422794163
20,2.000,0.704655349,0.059155773,-0.002679467,0.518363059,0.942374170,0.153805271,0.422200948
21,2.100,0.704819083,0.071454637,-0.005673306,0.517518640,0.942597926,0.160858169,0.421277255
22,2.200,0.704645455,0.081343010,-0.012651124,0.516988516,0.942931890,0.166483954,0.420892984
23,2.300,0.703989089,0.090074249,-0.018626833,0.515961766,0.943690419,0.171814263,0.420917362
24,2.400,0.703259706,0.099429391,-0.021669576,0.513352811,0.944002867,0.178728074,0.421768337
25,2.500,0.700618804,0.107029505,-0.023328191,0.513003647,0.944133759,0.183928654,0.422125757
26,2.600,0.698122561,0.114612937,-0.028306754,0.514546454,0.943445265,0.186646551,0.422268957
27,2.700,0.695720434,0.118082322,-0.036043175,0.516784608,0.943806887,0.187739134,0.422327906
28,2.800,0.688792169,0.119810604,-0.043604050,0.517712831,0.943562150,0.188185468,0.422352403
29,2.900,0.683578730,0.120609485,-0.052700501,0.518093228,0.943470836,0.188367203,0.422055095
30,3.000,0.676589966,0.121212147,-0.060559146,0.518251002,0.943910420,0.188442364,0.421218425
31,3.100,0.671480060,0.121231914,-0.066045240,0.518321276,0.944022775,0.188475817,0.420844793
32,3.200,0.669688880,0.122048467,-0.068287127,0.516005576,0.944140196,0.188487396,0.420715511
33,3.300,0.669077516,0.124952942,-0.069009699,0.510735095,0.944189072,0.188492209,0.420313746
34,3.400,0.669746041,0.127798647,-0.068535820,0.508004904,0.944209158,0.194515675,0.419798642
35,3.500,0.670018375,0.129641548,-0.068258852,0.506899476,0.944217384,0.209674060,0.419339448
36,3.600,0.670623362,0.131607145,-0.067652009,0.506454706,0.944220722,0.235421970,0.419068813
37,3.700,0.672259927,0.132307291,-0.066025726,0.506271839,0.944222152,0.263031214,0.418956786
38,3.800,0.675077021,0.131166667,-0.064429186,0.506197453,0.944222689,0.295100480,0.418911070
39,3.900,0.679439545,0.129045650,-0.062852658,0.507411838,0.944222927,0.323805690,0.418892175
40,4.000,0.681212723,0.127044052,-0.060952451,0.509759426,0.944504559,0.341774285,0.418884426
41,4.100,0.681930006,0.126228079,-0.058550321,0.511572063,0.944716096,0.348431438,0.418385863
42,4.200,0.682221770,0.125710502,-0.055915557,0.513238788,0.945077777,0.351298064,0.417647570
43,4.300,0.682340741,0.122517467,-0.054845430,0.514202893,0.945436478,0.355015308,0.416847765
44,4.400,0.682389617,0.116020165,-0.054407947,0.514946043,0.945644140,0.359981656,0.415986776
45,4.500,0.682409585,0.110382758,-0.054230191,0.515928090,0.945717573,0.365941316,0.415635616
46,4.600,0.682417929,0.099983342,-0.054156613,0.517185926,0.945865154,0.376859754,0.415490091
47,4.700,0.682421327,0.092159800,-0.054126397,0.517879188,0.945925832,0.398035973,0.415430278
