sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
0,0.000000,0.696386397,-0.053493366,0.038212717,0.500559866,0.936615884,0.086063862,0.421978295
1,0.100000,0.696386397,-0.053506035,0.038252835,0.500742243,0.936628837,0.085866305,0.421986387
2,0.200000,0.696386397,-0.053518704,0.038292954,0.500924621,0.936641790,0.085668749,0.421994480
3,0.300000,0.696386397,-0.053531373,0.038333072,0.501106998,0.936654742,0.085471192,0.422002572
4,0.400000,0.696386397,-0.053544041,0.038373191,0.501289376,0.936667695,0.085273635,0.422010664
5,0.500000,0.696386397,-0.053556710,0.038413309,0.501471753,0.936680648,0.085076078,0.422018757
6,0.600000,0.696386397,-0.053569379,0.038453427,0.501654130,0.936693601,0.084878522,0.422026849
7,0.700000,0.696386397,-0.053582048,0.038493546,0.501836508,0.936706553,0.084680965,0.422034941
8,0.800000,0.696386397,-0.053594717,0.038533664,0.502018885,0.936719506,0.084483408,0.422043033
9,0.900000,0.696386397,-0.053607386,0.038573783,0.502201263,0.936732459,0.084285852,0.422051126
10,1.000000,0.696386397,-0.053620054,0.038613901,0.502383640,0.936745412,0.084088295,0.422059218
11,1.100000,0.696386397,-0.053632723,0.038654019,0.502566018,0.936758364,0.083890738,0.422067310
12,1.200000,0.696386397,-0.053645392,0.038694138,0.502748395,0.936771317,0.083693182,0.422075403
13,1.300000,0.696386397,-0.053658061,0.038734256,0.502930772,0.936784270,0.083495625,0.422083495
14,1.400000,0.696386397,-0.053670730,0.038774375,0.503113150,0.936797223,0.083298068,0.422091587
15,1.500000,0.696386397,-0.053683399,0.038814493,0.503295527,0.936810176,0.083100511,0.422099680
16,1.600000,0.696386397,-0.053696067,0.038854611,0.503477905,0.936823128,0.082902955,0.422107772
17,1.700000,0.696386397,-0.053708736,0.038894730,0.503660282,0.936836081,0.082705398,0.422115864
18,1.800000,0.696386397,-0.053721405,0.038934848,0.503842659,0.936849034,0.082507841,0.422123956
19,1.900000,0.696386397,-0.053734074,0.038974967,0.504025037,0.936861987,0.082310285,0.422132049
20,2.000000,0.696386397,-0.053746743,0.039015085,0.504207414,0.936874939,0.082112728,0.422140141
21,2.100000,0.696386397,-0.053759412,0.039055203,0.504389792,0.936887892,0.081915171,0.422148233
22,2.200000,0.696386397,-0.053772081,0.039095322,0.504572169,0.936900845,0.081717614,0.422156326
23,2.300000,0.696386397,-0.053784749,0.039135440,0.504754547,0.936913798,0.081520058,0.422164418
24,2.400000,0.696386397,-0.053797418,0.039175559,0.504936924,0.936926750,0.081322501,0.422172510
25,2.500000,0.696386397,-0.053810087,0.039215677,0.505119301,0.936939703,0.081124944,0.422180603
26,2.600000,0.696386397,-0.053822756,0.039255795,0.505301679,0.936952656,0.080927388,0.422188695
27,2.700000,0.696386397,-0.053835425,0.039295914,0.505484056,0.936965609,0.080729831,0.422196787
28,2.800000,0.696386397,-0.053848094,0.039336032,0.505666434,0.936978562,0.080532274,0.422204879
29,2.900000,0.696386397,-0.053855099,0.039348763,0.505804921,0.936985727,0.080389512,0.422209361
30,3.000000,0.696386397,-0.053860355,0.039353034,0.505929853,0.936991106,0.080263673,0.422212727
31,3.100000,0.696386397,-0.053865611,0.039357306,0.506054786,0.936996485,0.080137835,0.422216093
32,3.200000,0.696386397,-0.053870868,0.039361578,0.506179718,0.937001864,0.080011996,0.422219458
33,3.300000,0.696386397,-0.053876124,0.039365849,0.506304650,0.937007242,0.079886157,0.422222824
34,3.400000,0.696386397,-0.053881380,0.039370121,0.506429582,0.937012621,0.079760318,0.422226190
35,3.500000,0.696386397,-0.053886636,0.039374393,0.506554514,0.937018000,0.079634479,0.422229556
36,3.600000,0.696386397,-0.053891893,0.039378664,0.506679447,0.937023378,0.079508640,0.422232922
37,3.700000,0.696386397,-0.053897149,0.039382936,0.506804379,0.937028757,0.079382801,0.422236288
38,3.800000,0.696386397,-0.053902405,0.039387207,0.506929311,0.937034136,0.079256963,0.422239654
39,3.900000,0.696386397,-0.053907661,0.039391479,0.507054243,0.937039515,0.079131124,0.422243020
40,4.000000,0.696386397,-0.053912918,0.039395751,0.507179175,0.937044893,0.079005285,0.422246386
41,4.100000,0.696386397,-0.053918174,0.039400022,0.507304108,0.937050272,0.078879446,0.422249752
42,4.200000,0.696386397,-0.053923430,0.039404294,0.507429040,0.937055651,0.078753607,0.422253118
43,4.300000,0.696386397,-0.053928686,0.039408566,0.507553972,0.937061029,0.078627768,0.422256484
44,4.400000,0.696386397,-0.053933943,0.039412837,0.507678904,0.937066408,0.078501929,0.422259849
45,4.500000,0.696386397,-0.053939199,0.039417109,0.507803836,0.937071787,0.078376091,0.422263215
46,4.600000,0.696386397,-0.053944455,0.039421381,0.507928769,0.937077166,0.078250252,0.422266581
